MIP Number,log tit,D - Call Direction,E - Call Method,F - Call Type,cat,na,Note,G - Created By,C - Created On
57750647,,Outbound,Emails,Feedback to Other,Query,Done,None,Athena Prince,2026-07-03 00:00:00
57731182,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57731182,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55673872,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55673872,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
54642328,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54642328,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54642328,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54642328,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54683063,,Inbound,Phone,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
54683063,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
54644297,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54644297,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-03 00:00:00
57731182,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57731182,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57968781,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57968781,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
59095960,,Inbound,Phone,How to claim - Ad Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
59095960,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
56285940,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
56285940,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55649912,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55649912,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57731182,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-03 00:00:00
57731182,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-03 00:00:00
57739591,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57739591,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57739575,,Inbound,Phone,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57739575,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55358506,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55358506,,Outbound,Emails,Sanlam - Overdue Payments,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
54716557,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54716557,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54719870,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54719870,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57750647,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57750647,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54675830,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54675830,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56311316,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56311316,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54670710,,Inbound,Emails,How to claim - Monthly Income,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54670710,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56311332,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56311332,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
58443367,,Inbound,Phone,Overdue Payment - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
55510007,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-06 00:00:00
55510007,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-06 00:00:00
58443367,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56538141,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56538141,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56538158,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56538158,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56674498,,Inbound,Emails,Overdue Payment - Monthly Income,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56674498,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57843384,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
57843384,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
57144020,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
57144020,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54767166,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-07-06 00:00:00
54767166,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54665721,,Inbound,Phone,How to claim - Termination,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54665721,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56574510,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56574510,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56574510,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54762095,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54762095,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54683063,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54683063,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54672444,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54672444,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
55831554,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
55831554,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56311332,,Inbound,Emails,Acknowledgement Letter Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56311332,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56311316,,Inbound,Emails,Acknowledgement Letter Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56311316,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
57968781,,Inbound,Phone,Acknowledgement Letter Received,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57968781,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57750647,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57750647,,Outbound,Emails,Feedback to Other,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54665721,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-07-06 00:00:00
54665721,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56574510,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-06 00:00:00
55597392,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-06 00:00:00
55597392,,Outbound,Emails,Feedback to SALT,Query,Done,None,Athena Prince,2026-07-06 00:00:00
54744234,,Inbound,Phone,Fund Rules,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54744234,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54674250,,Inbound,Phone,How to claim - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54674250,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56574510,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-06 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57968781,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-07-06 00:00:00
57968781,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-06 00:00:00
57739591,,Inbound,Emails,Acknowledgement Letter Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
57739591,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54656244,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
54656244,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
55358985,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
55358985,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-06 00:00:00
56281874,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-07-07 00:00:00
56281874,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56632433,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56632433,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56632433,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56632433,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56574510,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Outbound,Emails,Feedback to SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Outbound,Emails,Feedback to Other,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54702138,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54702138,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54702138,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54702138,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54719068,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54719068,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56574510,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56674498,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56674498,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
57143843,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-07 00:00:00
57143843,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
57968781,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-07-07 00:00:00
57968781,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54762095,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54762095,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54760475,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
54760475,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
57767488,,Inbound,Emails,Acknowledgement Letter Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
57767488,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56538141,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56538141,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56538158,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56538158,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56580026,,Inbound,Phone,How to claim - Monthly Income,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580026,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580026,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580026,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580042,,Inbound,Phone,How to claim - Monthly Income,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580042,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580042,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580042,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Inbound,Emails,How to claim - Monthly Income,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580050,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54642936,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
54642936,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
56580034,,Inbound,Phone,How to claim - Monthly Income,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580034,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580034,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56580034,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56574510,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
57968781,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-07-07 00:00:00
57968781,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54672444,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54672444,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54672444,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54672444,,Outbound,Phone,Feedback to SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
58260963,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-07 00:00:00
58260963,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54702138,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54702138,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-07 00:00:00
57218655,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
57218655,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-07 00:00:00
54653490,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
54653490,,Outbound,Emails,Feedback to SALT,Query,Done,None,Athena Prince,2026-07-07 00:00:00
56574510,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-08 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-08 00:00:00
56580034,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-08 00:00:00
56580034,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-08 00:00:00
57837585,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57837585,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54702138,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54702138,,Outbound,Emails,Failed Bank Validation,Query,Done,None,Athena Prince,2026-07-08 00:00:00
57843384,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57843384,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54651943,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54651943,,Outbound,Emails,Guardian Deceased,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57750671,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57750671,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
58111200,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-08 00:00:00
58111200,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54723303,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54723303,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54742874,,Inbound,Phone,How to claim - Ad Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54742874,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57731182,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57731182,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54731266,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54731266,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57750671,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57750671,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57761930,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
57761930,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
55358871,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
55358871,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54641356,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54641356,,Outbound,Phone,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54642563,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54642563,,Outbound,Phone,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54649546,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54649546,,Outbound,Phone,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54653903,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54653903,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54657710,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54657710,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54662668,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54662668,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54668946,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54668946,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54688094,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54688094,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54696680,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54696680,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54721376,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54721376,,Outbound,Phone,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54726300,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54726300,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54731663,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54731663,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54735227,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54735227,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54742614,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54742614,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54742622,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54742622,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54723344,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-08 00:00:00
54723344,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-08 00:00:00
57205054,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-08 00:00:00
57205054,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-08 00:00:00
57909723,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-08 00:00:00
57909723,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-08 00:00:00
56647224,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
56647224,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-08 00:00:00
54725612,,Inbound,Emails,Claim Received from Tracing Agency,Query,Done,None,Athena Prince,2026-07-08 00:00:00
